id;parroquia;id_canton
1;BELLAVISTA;1
2;CAÑARIBAMBA;1
3;EL BATÁN;1
4;EL SAGRARIO;1
5;EL VECINO;1
6;GIL RAMÍREZ DÁVALOS;1
7;HUAYNACÁPAC;1
8;MACHÁNGARA;1
9;MONAY;1
10;SAN BLAS;1
11;SAN SEBASTIÁN;1
12;SUCRE;1
13;TOTORACOCHA;1
14;YANUNCAY;1
15;HERMANO MIGUEL;1
16;CUENCA;1
17;BAÑOS;1
18;CUMBE;1
19;CHAUCHA;1
20;CHECA (JIDCAY);1
21;CHIQUINTAD;1
22;LLACAO;1
23;MOLLETURO;1
24;NULTI;1
25;OCTAVIO CORDERO PALACIOS (SANTA ROSA);1
26;PACCHA;1
27;QUINGEO;1
28;RICAURTE;1
29;SAN JOAQUÍN;1
30;SANTA ANA;1
31;SAYAUSÍ;1
32;SIDCAY;1
33;SININCAY;1
34;TARQUI;1
35;TURI;1
36;VALLE;1
37;VICTORIA DEL PORTETE (IRQUIS);1
38;GIRÓN;2
39;ASUNCIÓN;2
40;SAN GERARDO;2
41;GUALACEO;3
42;CHORDELEG;3
43;DANIEL CÓRDOVA TORAL (EL ORIENTE);3
44;JADÁN;3
45;MARIANO MORENO;3
46;PRINCIPAL;3
47;REMIGIO CRESPO TORAL (GÚLAG);3
48;SAN JUAN;3
49;ZHIDMAD;3
50;LUIS CORDERO VEGA;3
51;SIMÓN BOLÍVAR (CAB. EN GAÑANZOL);3
52;NABÓN;4
53;COCHAPATA;4
54;EL PROGRESO (CAB.EN ZHOTA);4
55;LAS NIEVES (CHAYA);4
56;OÑA;4
57;PAUTE;5
58;AMALUZA;5
59;BULÁN (JOSÉ VÍCTOR IZQUIERDO);5
60;CHICÁN (GUILLERMO ORTEGA);5
61;EL CABO;5
62;GUACHAPALA;5
63;GUARAINAG;5
64;PALMAS;5
65;PAN;5
66;SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO);5
67;SEVILLA DE ORO;5
68;TOMEBAMBA;5
69;DUG DUG;5
70;PUCARÁ;6
71;CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO;6
72;SAN RAFAEL DE SHARUG;6
73;SAN FERNANDO;7
74;CHUMBLÍN;7
75;SANTA ISABEL (CHAGUARURCO);8
76;ABDÓN CALDERÓN (LA UNIÓN);8
77;EL CARMEN DE PIJILÍ;8
78;ZHAGLLI (SHAGLLI);8
79;SAN SALVADOR DE CAÑARIBAMBA;8
80;SIGSIG;9
81;CUCHIL (CUTCHIL);9
82;GIMA;9
83;GUEL;9
84;LUDO;9
85;SAN BARTOLOMÉ;9
86;SAN JOSÉ DE RARANGA;9
87;SAN FELIPE DE OÑA CABECERA CANTONAL;10
88;SUSUDEL;10
89;CHORDELEG;11
90;PRINCIPAL;11
91;LA UNIÓN;11
